date,city,state,qty_cases,qty_deaths,ibge_id
2020-03-29,ACRELANDIA,AC,2,0,1200013
2020-03-30,ACRELANDIA,AC,6,0,1200013
2020-03-31,ACRELANDIA,AC,7,0,1200013
2020-04-01,ACRELANDIA,AC,8,0,1200013
2020-04-02,ACRELANDIA,AC,8,0,1200013
2020-04-03,ACRELANDIA,AC,9,0,1200013
2020-04-04,ACRELANDIA,AC,9,0,1200013
2020-04-05,ACRELANDIA,AC,9,0,1200013
2020-04-06,ACRELANDIA,AC,9,0,1200013
2020-04-07,ACRELANDIA,AC,9,0,1200013
2020-04-08,ACRELANDIA,AC,9,0,1200013
2020-04-09,ACRELANDIA,AC,9,0,1200013
2020-04-10,ACRELANDIA,AC,9,0,1200013
2020-04-11,ACRELANDIA,AC,9,0,1200013
2020-04-12,ACRELANDIA,AC,10,0,1200013
2020-04-13,ACRELANDIA,AC,11,0,1200013
2020-04-14,ACRELANDIA,AC,11,0,1200013
2020-04-15,ACRELANDIA,AC,11,0,1200013
2020-04-16,ACRELANDIA,AC,12,0,1200013
2020-04-17,ACRELANDIA,AC,12,0,1200013
2020-04-18,ACRELANDIA,AC,12,0,1200013
2020-04-19,ACRELANDIA,AC,12,0,1200013
2020-04-20,ACRELANDIA,AC,12,0,1200013
2020-04-21,ACRELANDIA,AC,12,0,1200013
2020-04-22,ACRELANDIA,AC,12,0,1200013
2020-04-23,ACRELANDIA,AC,12,0,1200013
2020-04-24,ACRELANDIA,AC,12,0,1200013
2020-04-25,ACRELANDIA,AC,12,0,1200013
2020-04-26,ACRELANDIA,AC,12,0,1200013
2020-04-27,ACRELANDIA,AC,13,0,1200013
2020-04-28,ACRELANDIA,AC,13,0,1200013
2020-04-29,ACRELANDIA,AC,13,0,1200013
2020-04-30,ACRELANDIA,AC,13,0,1200013
2020-05-01,ACRELANDIA,AC,13,0,1200013
2020-05-02,ACRELANDIA,AC,13,0,1200013
2020-05-03,ACRELANDIA,AC,15,0,1200013
2020-05-04,ACRELANDIA,AC,15,1,1200013
2020-05-05,ACRELANDIA,AC,16,1,1200013
2020-05-06,ACRELANDIA,AC,15,1,1200013
2020-05-07,ACRELANDIA,AC,15,1,1200013
2020-05-08,ACRELANDIA,AC,17,1,1200013
2020-05-09,ACRELANDIA,AC,28,1,1200013
2020-05-10,ACRELANDIA,AC,30,1,1200013
2020-05-11,ACRELANDIA,AC,30,1,1200013
2020-05-12,ACRELANDIA,AC,31,1,1200013
2020-05-13,ACRELANDIA,AC,39,1,1200013
2020-05-14,ACRELANDIA,AC,39,1,1200013
2020-05-01,ASSIS BRASIL,AC,1,0,1200054
2020-05-02,ASSIS BRASIL,AC,1,0,1200054
2020-05-03,ASSIS BRASIL,AC,1,0,1200054
2020-05-04,ASSIS BRASIL,AC,1,0,1200054
2020-05-05,ASSIS BRASIL,AC,1,0,1200054
2020-05-06,ASSIS BRASIL,AC,1,0,1200054
2020-05-07,ASSIS BRASIL,AC,1,0,1200054
2020-05-08,ASSIS BRASIL,AC,1,0,1200054
2020-05-09,ASSIS BRASIL,AC,1,0,1200054
2020-05-10,ASSIS BRASIL,AC,1,0,1200054
2020-05-11,ASSIS BRASIL,AC,1,0,1200054
2020-05-12,ASSIS BRASIL,AC,1,0,1200054
2020-05-13,ASSIS BRASIL,AC,1,0,1200054
2020-05-14,ASSIS BRASIL,AC,1,0,1200054
2020-05-09,BRASILEIA,AC,1,0,1200104
2020-05-10,BRASILEIA,AC,1,0,1200104
2020-05-11,BRASILEIA,AC,1,0,1200104
2020-05-12,BRASILEIA,AC,3,0,1200104
2020-05-13,BRASILEIA,AC,3,0,1200104
2020-05-14,BRASILEIA,AC,3,0,1200104
2020-04-08,BUJARI,AC,1,0,1200138
2020-04-09,BUJARI,AC,1,0,1200138
2020-04-10,BUJARI,AC,1,0,1200138
2020-04-11,BUJARI,AC,1,0,1200138
2020-04-12,BUJARI,AC,1,0,1200138
2020-04-13,BUJARI,AC,1,0,1200138
2020-04-14,BUJARI,AC,1,0,1200138
2020-04-15,BUJARI,AC,1,0,1200138
2020-04-16,BUJARI,AC,1,0,1200138
2020-04-17,BUJARI,AC,1,0,1200138
2020-04-18,BUJARI,AC,1,0,1200138
2020-04-19,BUJARI,AC,1,0,1200138
2020-04-20,BUJARI,AC,1,0,1200138
2020-04-21,BUJARI,AC,1,0,1200138
2020-04-22,BUJARI,AC,1,0,1200138
2020-04-23,BUJARI,AC,1,0,1200138
2020-04-24,BUJARI,AC,1,0,1200138
2020-04-25,BUJARI,AC,1,0,1200138
2020-04-26,BUJARI,AC,1,0,1200138
2020-04-27,BUJARI,AC,1,0,1200138
2020-04-28,BUJARI,AC,1,0,1200138
2020-04-29,BUJARI,AC,2,0,1200138
2020-04-30,BUJARI,AC,2,0,1200138
2020-05-01,BUJARI,AC,2,0,1200138
2020-05-02,BUJARI,AC,2,0,1200138
2020-05-03,BUJARI,AC,2,0,1200138
2020-05-04,BUJARI,AC,2,0,1200138
2020-05-05,BUJARI,AC,2,0,1200138
2020-05-06,BUJARI,AC,3,0,1200138
2020-05-07,BUJARI,AC,4,0,1200138
2020-05-08,BUJARI,AC,4,0,1200138
2020-05-09,BUJARI,AC,4,0,1200138
2020-05-10,BUJARI,AC,4,0,1200138
2020-05-11,BUJARI,AC,4,0,1200138
2020-05-12,BUJARI,AC,8,0,1200138
2020-05-13,BUJARI,AC,16,0,1200138
2020-05-14,BUJARI,AC,16,0,1200138
2020-05-08,CAPIXABA,AC,1,0,1200179
