city,ibge_id,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
ANANINDEUA-PA,1500800,2020-03-25,2,2,2,real
ANANINDEUA-PA,1500800,2020-03-26,4,2,4,real
ANANINDEUA-PA,1500800,2020-03-27,4,0,4,real
ANANINDEUA-PA,1500800,2020-03-28,4,0,4,real
ANANINDEUA-PA,1500800,2020-03-29,4,0,4,real
ANANINDEUA-PA,1500800,2020-03-30,5,1,5,real
ANANINDEUA-PA,1500800,2020-03-31,6,1,6,real
ANANINDEUA-PA,1500800,2020-04-01,7,1,7,real
ANANINDEUA-PA,1500800,2020-04-02,8,1,8,real
ANANINDEUA-PA,1500800,2020-04-03,9,1,9,real
ANANINDEUA-PA,1500800,2020-04-04,10,1,10,real
ANANINDEUA-PA,1500800,2020-04-05,10,0,10,real
ANANINDEUA-PA,1500800,2020-04-06,14,4,14,real
ANANINDEUA-PA,1500800,2020-04-07,16,2,16,real
ANANINDEUA-PA,1500800,2020-04-08,16,0,14,real
ANANINDEUA-PA,1500800,2020-04-09,16,0,12,real
ANANINDEUA-PA,1500800,2020-04-10,21,5,17,real
ANANINDEUA-PA,1500800,2020-04-11,25,4,21,real
ANANINDEUA-PA,1500800,2020-04-12,26,1,22,real
ANANINDEUA-PA,1500800,2020-04-13,28,2,23,real
ANANINDEUA-PA,1500800,2020-04-14,33,5,27,real
ANANINDEUA-PA,1500800,2020-04-15,45,12,38,real
ANANINDEUA-PA,1500800,2020-04-16,50,5,42,real
ANANINDEUA-PA,1500800,2020-04-17,67,17,58,real
ANANINDEUA-PA,1500800,2020-04-18,68,1,58,real
ANANINDEUA-PA,1500800,2020-04-19,74,6,64,real
ANANINDEUA-PA,1500800,2020-04-20,88,14,74,real
ANANINDEUA-PA,1500800,2020-04-21,111,23,95,real
ANANINDEUA-PA,1500800,2020-04-22,120,9,104,real
ANANINDEUA-PA,1500800,2020-04-23,125,5,109,real
ANANINDEUA-PA,1500800,2020-04-24,164,39,143,real
ANANINDEUA-PA,1500800,2020-04-25,172,8,147,real
ANANINDEUA-PA,1500800,2020-04-26,216,44,190,real
ANANINDEUA-PA,1500800,2020-04-27,264,48,236,prediction
ANANINDEUA-PA,1500800,2020-04-28,316,52,283,prediction
ANANINDEUA-PA,1500800,2020-04-29,373,57,328,prediction
ANANINDEUA-PA,1500800,2020-04-30,435,62,385,prediction
ANANINDEUA-PA,1500800,2020-05-01,503,68,436,prediction
ANANINDEUA-PA,1500800,2020-05-02,503,0,435,prediction
ANANINDEUA-PA,1500800,2020-05-03,503,0,429,prediction
ANANINDEUA-PA,1500800,2020-05-04,503,0,415,prediction
ANANINDEUA-PA,1500800,2020-05-05,503,0,392,prediction
